h. vincent poor, 1.0
mohamed-slim alouini, 1.0
philip s. yu, 1.0
wei wang, 1.0
wen gao 0001, 1.0
wei li, 1.0
lajos hanzo, 1.0
wei zhang, 1.0
li zhang, 1.0
yang liu, 1.0
yu zhang, 1.0
victor c. m. leung, 1.0
xin wang, 1.0
hai jin 0001, 1.0
thomas s. huang, 1.0
lei zhang, 1.0
jing wang, 1.0
witold pedrycz, 1.0
jun wang, 1.0
jing li, 1.0
lei wang, 1.0
elisa bertino, 1.0
wei chen, 1.0
jiawei han 0001, 1.0
leonard barolli, 1.0
luca benini, 1.0
zhu han, 1.0
chin-chen chang 0001, 1.0
yong wang, 1.0
jun zhang, 1.0
georgios b. giannakis, 1.0
hui li, 1.0
dacheng tao, 1.0
yan zhang, 1.0
robert schober, 1.0
nassir navab, 1.0
jian wang, 1.0
ying zhang, 1.0
wei liu, 1.0
yang yang, 1.0
yang li, 1.0
yan li, 1.0
jing zhang, 1.0
azzedine boukerche, 1.0
toshio fukuda, 1.0
makoto takizawa 0001, 1.0
xiang li, 1.0
xin li, 1.0
c.-c. jay kuo, 1.0
ajith abraham, 1.0
jie wu 0001, 1.0
sajal k. das, 1.0
edwin r. hancock, 1.0
jian li, 1.0
xi chen, 1.0
robert w. heath jr., 1.0
licheng jiao, 1.0
mario gerla, 1.0
jian zhang, 1.0
ying wang, 1.0
kang g. shin, 1.0
hans-peter seidel, 1.0
rama chellappa, 1.0
yan wang, 1.0
bo zhang, 1.0
li li, 1.0
jack j. dongarra, 1.0
wil m. p. van der aalst, 1.0
ying li, 1.0
shuicheng yan, 1.0
yi zhang, 1.0
peng li, 1.0
kaushik roy 0001, 1.0
xuemin shen, 1.0
hermann ney, 1.0
chao wang, 1.0
hui wang, 1.0
yu liu, 1.0
yong zhang, 1.0
dinggang shen, 1.0
mario piattini, 1.0
michele zorzi, 1.0
bin wang, 1.0
christoph meinel, 1.0
mahmut t. kandemir, 1.0
bin li, 1.0
jiannong cao, 1.0
anil k. jain 0001, 1.0
mérouane debbah, 1.0
hao wang, 1.0
k. j. ray liu, 1.0
albert y. zomaya, 1.0
xuelong li, 1.0
yi wang, 1.0
krishnendu chakrabarty, 1.0
francisco herrera, 1.0
tao wang, 1.0
josef kittler, 1.0
peng wang, 1.0
sudhakar m. reddy, 1.0
