h. vincent poor, 1636
mohamed-slim alouini, 1248
philip s. yu, 1208
wei wang, 1166
wen gao 0001, 1160
wei li, 1144
lajos hanzo, 1139
wei zhang, 1133
li zhang, 1069
yang liu, 1061
yu zhang, 1041
victor c. m. leung, 1036
xin wang, 1036
hai jin 0001, 1003
thomas s. huang, 987
lei zhang, 985
jing wang, 979
witold pedrycz, 975
jun wang, 973
jing li, 962
lei wang, 962
elisa bertino, 932
wei chen, 894
jiawei han 0001, 880
leonard barolli, 878
luca benini, 876
zhu han, 862
chin-chen chang 0001, 859
yong wang, 849
jun zhang, 845
georgios b. giannakis, 838
hui li, 836
dacheng tao, 823
yan zhang, 823
robert schober, 807
nassir navab, 801
jian wang, 797
ying zhang, 796
wei liu, 795
yang yang, 793
yang li, 786
yan li, 785
jing zhang, 779
azzedine boukerche, 771
toshio fukuda, 766
makoto takizawa 0001, 765
xiang li, 763
xin li, 760
c.-c. jay kuo, 759
ajith abraham, 755
jie wu 0001, 749
sajal k. das, 748
edwin r. hancock, 744
jian li, 744
xi chen, 738
robert w. heath jr., 734
licheng jiao, 728
mario gerla, 725
jian zhang, 724
ying wang, 722
kang g. shin, 717
hans-peter seidel, 716
rama chellappa, 714
yan wang, 711
bo zhang, 708
li li, 708
jack j. dongarra, 701
wil m. p. van der aalst, 700
ying li, 692
shuicheng yan, 690
yi zhang, 690
peng li, 688
kaushik roy 0001, 677
xuemin shen, 674
hermann ney, 673
chao wang, 670
hui wang, 670
yu liu, 670
yong zhang, 668
dinggang shen, 666
mario piattini, 658
michele zorzi, 657
bin wang, 656
christoph meinel, 656
mahmut t. kandemir, 655
bin li, 651
jiannong cao, 650
anil k. jain 0001, 649
mérouane debbah, 647
hao wang, 646
k. j. ray liu, 643
albert y. zomaya, 642
xuelong li, 641
yi wang, 636
krishnendu chakrabarty, 634
francisco herrera, 632
tao wang, 630
josef kittler, 628
peng wang, 627
sudhakar m. reddy, 625
